R2,R3,ADCMAX,ODR,BW,Low Power (uV),High Res (uV)
4,4,0x800000,3200,640,5.2,4.59
5,4,0xC35000,2560,520,4.36,3.81
4,6,0xF30000,2133,430,3.92,3.38
6,4,0xF30000,2133,430,3.91,3.38
5,6,0xB964F0,1707,350,3.44,2.96
4,8,0x800000,1600,325,3.32,2.86
8,4,0x800000,1600,325,3.32,2.86
6,6,0xE6A900,1422,290,3.12,2.68
5,8,0xC35000,1280,260,2.95,2.54
4,12,0xF30000,1067,215,2.69,2.31
6,8,0xF30000,1067,215,2.68,2.3
8,6,0xF30000,1067,215,2.69,2.31
5,12,0xB964F0,853,170,2.41,2.06
4,16,0x800000,800,160,2.34,1.99
8,8,0x800000,800,160,2.34,2
6,12,0xE6A900,711,140,2.21,1.88
5,16,0xC35000,640,130,2.1,1.79
6,16,0xF30000,533,110,1.93,1.64
8,12,0xF30000,533,105,1.93,1.64
4,32,0x800000,400,80,1.68,1.43
8,16,0x800000,400,80,1.69,1.44
5,32,0xC35000,320,65,1.53,1.29
6,32,0xF30000,267,55,1.41,1.18
4,64,0x800000,200,40,1.25,1.04
8,32,0x800000,200,40,1.25,1.04
5,64,0xC35000,160,32,1.14,0.95
6,64,0xF30000,133,27,1.06,0.88
4,128,0x800000,100,20,0.95,0.78
8,64,0x800000,100,20,0.96,0.78
5,128,0xC35000,80,15,0.88,0.72
6,128,0xF30000,67,13,0.83,0.68
8,128,0x800000,50,10,0.76,0.61
